rating,date
5.0,2019-07-16
2.0,2020-09-01
5.0,2019-06-04
5.0,2020-01-22
5.0,2020-07-21
5.0,2020-08-14
5.0,2019-06-03
5.0,2019-08-31
4.0,2019-11-05
4.0,2020-08-11
5.0,2019-03-07
4.0,2020-05-24
1.0,2019-12-03
5.0,2019-07-06
5.0,2019-08-13
3.0,2019-09-16
5.0,2019-10-20
4.0,2019-10-21
1.0,2019-11-04
5.0,2019-08-12
5.0,2020-07-05
5.0,2019-07-17
5.0,2019-03-06
5.0,2019-08-23
3.0,2019-07-30
2.0,2020-06-21
4.0,2020-08-13
5.0,2019-05-27
4.0,2019-02-19
4.0,2020-08-13
3.0,2019-10-28
3.0,2020-09-07
4.0,2019-02-04
1.0,2020-07-13
4.0,2020-08-21
5.0,2019-12-13
5.0,2020-06-23
3.0,2019-07-09
5.0,2020-06-22
4.0,2019-08-26
5.0,2019-10-02
5.0,2019-06-18
5.0,2019-07-06
5.0,2019-11-27
5.0,2020-08-12
5.0,2020-06-07
5.0,2020-08-08
5.0,2020-06-23
5.0,2020-06-04
5.0,2020-07-14
1.0,2019-03-23
5.0,2020-08-14
5.0,2019-07-11
4.0,2020-02-12
5.0,2019-08-25
5.0,2019-07-18
5.0,2019-09-08
5.0,2019-07-10
5.0,2020-05-21
1.0,2020-04-19
2.0,2020-07-29
3.0,2020-08-09
5.0,2020-03-06
4.0,2019-07-27
5.0,2019-04-05
5.0,2019-05-16
1.0,2020-09-09
5.0,2019-07-30
4.0,2020-05-29
5.0,2019-04-15
